46,45,44,1
46,45,44,2
46,45,44,16
46,45,44,32
52,51,50,32
46,45,44,8
258,257,256,8
258,257,256,16
258,257,256,32
258,257,256,64
37,36,35,16
37,36,35,32
37,36,35,64
37,36,35,128
261,260,259,2
261,260,259,1
258,257,256,2
258,257,256,1
43,42,41,8
43,42,41,4
43,42,41,2
43,42,41,1
34,33,32,1
34,33,32,2
34,33,32,4
34,33,32,8
34,33,32,16
34,33,32,32
34,33,32,64
34,33,32,128
40,39,38,128
40,39,38,64
40,39,38,32
40,39,38,16
40,39,38,8
40,39,38,4
40,39,38,2
40,39,38,1
46,45,44,128
52,51,50,4
52,51,50,2
52,51,50,1
267,266,265,128
267,266,265,64
267,266,265,32
267,266,265,16
267,266,265,8
267,266,265,4
267,266,265,2
267,266,265,1
37,36,35,8
37,36,35,4
37,36,35,2
37,36,35,1
